AoA,AoA_mod,Cl,Cd,Cm
-20,-17.034535912302307,-0.5287934742691326,0.2375787548588918,0.07515972190941002
-18,-14.995763226377218,-0.5357073139551801,0.21195815477859073,0.07354949102902766
-16,-11.797124228083902,-0.7494453534517522,0.15732890955212064,0.037382538213539804
-14,-9.710576574393286,-0.7648782951875039,0.06329376282896398,-0.007630164100136226
-12,-8.161033835050697,-0.684553984108856,0.04850468538099644,-0.0043606736198157255
-10,-6.694392594367118,-0.58944690372274,0.03889147200508884,-0.0002569461898138921
-8,-5.283483471137768,-0.4844018240402383,0.031895062101675226,0.0038809580927769245
-6,-3.908382104774009,-0.3729716027411875,0.02667527344576255,0.00806005635677262
-4,-2.5792730383712916,-0.2533401598569821,0.022503909883086197,0.008685403396952082
-2,-1.4419804682094144,-0.0995045221251249,0.01654860275984811,-0.0019412295424661623
0,-0.1255750652711659,0.0223922034064714,0.0128324414575781,0.0017739712527459074
0,-0.1249981537885983,0.0222893301231704,0.012773678296647828,0.0017658213514638627
2,1.130998309521484,0.1549580131353554,0.012437765484835986,-0.0008058162380835577
4,2.1846795171153164,0.3237030011723308,0.011920962245762367,-0.008474475228805251
6,3.6323332572712492,0.4221958809054542,0.014377959710992125,-0.00654207579911265
8,5.016141684914503,0.5320734827667045,0.01480226956422161,-0.0026577212269412497
10,6.432493194536732,0.636148090939892,0.01702705313908394,0.0012867540567652594
12,7.885739218316103,0.7336437698980661,0.023831230532548153,0.005726662797451149
14,9.515457261754582,0.7996714392539795,0.040708054768250505,0.008316178607464239
16,11.667717492501305,0.7725208098656166,0.14390181514018732,-0.0437713637648717
18,14.975980998566245,0.5392348269054618,0.196549593277696,-0.06872005760965168
20,16.728667322454015,0.583335127620008,0.2302374056271026,-0.0780056325814366
