AoA,AoA_mod,Cl,Cd,Cm
-20,-17.0691748450244,-0.522616754188426,0.235647938957432,0.0730556106286436
-19,-15.9621540909024,-0.541700403397276,0.227246469275832,0.0753757996761232
-18,-14.8882235271721,-0.554883500036945,0.216031034098473,0.0754066154260089
-17,-12.679903261657,-0.770347876719919,0.184114565465637,0.0506150314000786
-16,-11.7528521033305,-0.757339838081912,0.162426219690251,0.0426572774180529
-15,-10.6995206040628,-0.766849765685724,0.115294341753316,0.0167960028115948
-14,-9.65715984332096,-0.774403421094444,0.0640444846735113,-0.00814959248758148
-13,-8.81941847294113,-0.745469904467841,0.0530201292460284,-0.00751787965536867
-12,-8.00523192074261,-0.712336156857647,0.0457649619581037,-0.00568359008148322
-11,-7.26425844778233,-0.666147252487017,0.0406890505161843,-0.00347426378913178
-10,-6.53445074201436,-0.617967298940985,0.0358718709403988,-0.00147276115924232
-9,-5.80656766244728,-0.569444151296039,0.0328056791064943,0.000435420171703984
-8,-5.08845388782444,-0.519178967817953,0.030025032573384,0.00252659418668829
-7,-4.40127317065285,-0.463397885837751,0.0275168637688972,0.00479744902346478
-6,-3.69675964130417,-0.410707543687444,0.025241587500081,0.00698126509052603
-5,-3.00816090911788,-0.355179318280112,0.0234210959082062,0.00897611776035347
-4,-2.32023674392756,-0.299530805924473,0.0214797466812403,0.010283654062448
-3,-1.72766776527176,-0.226878816579734,0.0202461352549124,0.00749959788965867
-2,-1.1608429970107,-0.149636189798707,0.0181549147766312,0.000844931917842972
-1,-0.579384772809742,-0.0750029609999818,0.0166948882115937,-0.00302598681445704
0,0.0825107684712774,-0.0147130953652576,0.0160001066983171,-0.000683032661722479
0,0.0822741361045756,-0.0146708997265271,0.0159542716312687,-0.000681073794555541
1,0.764011234938647,0.0420808734400011,0.0158377949363225,0.00316773840857689
2,1.4149931557307,0.104316826137169,0.017396240803675,0.00394880212280107
3,1.95913012047621,0.185605080209483,0.0188171111405367,-0.00164077098970062
4,2.48493577435004,0.270162123677683,0.0200935378274336,-0.00819670264100966
5,3.13403931357507,0.332733024256687,0.0213172655614369,-0.00896152044479396
6,3.80630002378463,0.391174601216514,0.022390573032833,-0.00757242146344069
7,4.50338421396844,0.445189722879346,0.0239603298516227,-0.00567386212702968
8,5.19203195388074,0.500709209362536,0.0248476046467099,-0.0035933107953849
9,5.88046710379838,0.556266604314199,0.0272666945284429,-0.00148528832766095
10,6.58159858050629,0.609560024874219,0.0284891075634557,0.000106070490263104
11,7.30081710690431,0.659628212026562,0.032355317720601,0.00251763146061217
12,8.06598011671969,0.701503704109503,0.0366956706371597,0.00457066710820731
13,8.80166630399006,0.748635422854792,0.0415971329663721,0.00671893791238776
14,9.58300403307914,0.787626683078191,0.0487633427542978,0.00837915951432261
15,10.5196514539344,0.798923542334998,0.0768379680012838,0.000832447490753078
16,11.6502464077491,0.775636206084257,0.143991509564629,-0.0363644743578116
17,12.607776724646,0.783209284231586,0.167675909656488,-0.0476970255016383
18,14.7757684799108,0.574936177588204,0.20551776738371,-0.0718511946735797
19,15.8408190901429,0.563336530055577,0.21911797940207,-0.0732045864849936
20,16.8901494479243,0.55454007509718,0.230218062536038,-0.0728384953943689
