AoA,AoA_mod,Cl,Cd,Cm
-30,-27.517391837015136,-0.4426919217129643,0.31754736059337685,0.05775300413066745
-29,-26.558504452679948,-0.4353608321327951,0.30221359620366733,0.05341277536061234
-28,-25.632930760449575,-0.4220893357670846,0.28628414712339134,0.04998849171559226
-27,-24.68687305663051,-0.4124704925223107,0.27321099375697233,0.04686377898917412
-26,-23.746302153452415,-0.4018732579405455,0.25870254838883167,0.04371609451471998
-25,-22.77378724746508,-0.3969721908819814,0.24824272251353893,0.04152300234510637
-24,-21.811848421748408,-0.3901852260127925,0.23703835881864935,0.03940988249733935
-23,-20.788192311951136,-0.3944035190412894,0.2307710290622531,0.040446582558418535
-22,-19.7271257401139,-0.4052927437051386,0.22712159527705647,0.041991573931421264
-21,-17.662133002793627,-0.5951993461743003,0.28367990031460244,0.08139160601809407
-20,-16.49596531657463,-0.6248299151201632,0.2806035193805149,0.08838403634497646
-19,-15.50747907480304,-0.6227768131315895,0.26654534158230475,0.08815841235951793
-18,-14.61933964583002,-0.602830140962307,0.24689147262783978,0.08381930711166743
-17,-13.547560371805954,-0.6156296254845326,0.23378287232729783,0.08447393271205375
-16,-11.56426342650359,-0.7909684569685265,0.205348491453626,0.06736822703309811
-15,-10.087813688085188,-0.8759276758436028,0.16838182598840784,0.04724611673558565
-14,-8.90847661494659,-0.9079065739741284,0.08157681863764876,-0.0009272845030207921
-13,-7.993524547748588,-0.8927410583800104,0.052041015496362,-0.009299248259071666
-12,-7.189994350383714,-0.8577070986178952,0.043753832382351684,-0.007424788292319727
-11,-6.48497339815718,-0.8051072387322767,0.038243187851707064,-0.004981242526536256
-10,-5.774767684099626,-0.7534319114462125,0.03415932742001094,-0.0027219812661421535
-9,-5.104677807226262,-0.6946032374020992,0.031505706754806385,-2.744454370082021e-05
-8,-4.4401740478059715,-0.6347784621177315,0.029245465852429313,0.0023281258851887386
-7,-3.793268424008943,-0.5718156352496371,0.02717578439283643,0.004625116217405582
-6,-3.1498450100136135,-0.508231870219852,0.025962740932203354,0.007186529552528726
-5,-2.4847709494945383,-0.4485087894731646,0.023635974351431745,0.009532383548999383
-4,-1.8787586298988783,-0.3782539800473671,0.022423080391693065,0.01079674953377728
-3,-1.2716434613890666,-0.3081958276343212,0.021027555580176785,0.008975276109652656
-2,-0.8141846144681437,-0.2114513678174424,0.019378820006713593,0.0020290327990098844
-1,-0.3310963164160833,-0.1192770818777213,0.01747345214706998,-0.0040747786752872205
0,0.2698125240111225,-0.0481122339552371,0.01606913839544334,-0.0032125367465774953
0,0.2751059306162351,-0.0490561397948151,0.01638053742543146,-0.0032755629656006755
1,0.9204866851331965,0.0141785976075387,0.015477180822471926,0.0014703355697418086
2,1.5443903594067114,0.0812430694269113,0.016017053427759304,0.005591930360811319
3,2.0930315505113484,0.1617281421303402,0.01706213731488214,0.004143630004638713
4,2.588175077068308,0.2517527725774659,0.01819599292955826,-0.002608135818381865
5,3.057727221175917,0.3463407885981624,0.018782149384768444,-0.009453303177530983
6,3.6305676110996594,0.4225107261188149,0.01900607461750408,-0.01021159550992018
7,4.284877895380891,0.4841531741094618,0.019636206719609632,-0.008478896522437851
8,4.896061637483749,0.5534858295675753,0.019798452919247048,-0.006057461944637379
9,5.547665703264709,0.6156108430658697,0.020992852823432794,-0.003945359707974312
10,6.165708682612631,0.683720378032084,0.02117464248603728,-0.0014885945698065424
11,6.869586310387183,0.7365241124180507,0.02377427157627804,0.0007285648679545113
12,7.546616712934693,0.7941151708391283,0.02538341842749442,0.0035484723095173774
13,8.240451374520145,0.8487097395856031,0.02934552369616837,0.0064424065845759045
14,8.921170937760097,0.9056429569261608,0.03380318064849845,0.008903340546221434
15,9.688328560861926,0.947162775003829,0.04275953963520854,0.010975793241909204
16,10.892558410423662,0.910745064822399,0.12134404426366054,-0.025361972738009525
17,12.078682446821071,0.8775559339002332,0.1701269483593995,-0.051435471945409865
18,14.433823679674937,0.6359108424560495,0.21839081066326194,-0.08066407741271238
19,15.525480594207623,0.6195668312513289,0.231389948225336,-0.08082342979067646
20,16.4760851510412,0.6283748920582009,0.24708842769647196,-0.08174207519384392
21,17.31534958706445,0.6570368197701169,0.2674547610880167,-0.08887303315830242
22,18.199328779847406,0.6777253339188218,0.28567613127262353,-0.09400780194626819
23,19.856198045299998,0.5605941966845955,0.26168052520908924,-0.06795312666854371
24,21.773480259764984,0.3970269320920213,0.21272714061028905,-0.03392382473552711
25,22.78449819357098,0.3950622441631711,0.21910249512085547,-0.033760959246229946
26,23.74607922999187,0.4019130090444914,0.229594991141739,-0.03506211284610569
27,24.696264667094002,0.4107958061396375,0.24126212286675675,-0.037600833845530146
28,25.652914676547397,0.4185258583111582,0.2528135930434776,-0.040566993966331
29,26.57439921058252,0.4325265222219664,0.267816476191082,-0.04420345547802442
30,27.514608352602682,0.4431882650674977,0.28194048782580144,-0.047492940450409436
