AoA,AoA_mod,Cl,Cd,Cm
-20,-16.924780294229112,-0.5483647969643738,0.2483427402527713,0.07786073636746403
-19,-16.01687317039953,-0.5319430462685493,0.23266549104588471,0.07436127159271408
-18,-15.042724612436455,-0.5273332875780685,0.21898698184358634,0.07301492401725117
-17,-13.966046685417034,-0.5410062865520113,0.20838461099890418,0.07442764253430303
-16,-12.320336159598869,-0.656147627745803,0.18861637835679654,0.06282467634020142
-15,-10.73666128945251,-0.7602269398874316,0.15217107571197402,0.03935969291367965
-14,-9.577375170150411,-0.7886304065751694,0.08016218226713995,-0.00040294936537663487
-13,-8.621403870558364,-0.7807793287108772,0.053981595336559,-0.00782362890932803
-12,-7.803479009422452,-0.7483121861622971,0.04590619681685429,-0.006383570416759169
-11,-7.068087127875401,-0.7011279876225046,0.04025373053536815,-0.004175639967406145
-10,-6.376967061269363,-0.6460493596974503,0.036497489936644575,-0.002085901001869629
-9,-5.624430145667041,-0.6019224169046287,0.03298514838307766,0.00013498732672733316
-8,-4.916126689249089,-0.549907884220538,0.029486972115497605,0.0021792623488140666
-7,-4.229071589916977,-0.4941044024095484,0.026829408832429087,0.004466319103444184
-6,-3.54771470001336,-0.4372848314227339,0.024730827903569834,0.006721407479003915
-5,-2.837601021650317,-0.3855930925824515,0.022879631331267147,0.008446011772808144
-4,-2.1658727876151156,-0.3270565659223838,0.021091608656154816,0.00989327225603758
-3,-1.51381048607593,-0.2650132637756555,0.019453526094557402,0.008062899818739297
-2,-0.9609775185060434,-0.1852756572275627,0.017963815575310325,0.0016698208277916055
-1,-0.4088256571754414,-0.1054165976711156,0.016069130666542548,-0.0032513405910560202
0,0.2398744805988383,-0.0427737636448134,0.01450322359027887,-0.0026182089175175406
0,0.24047756190444497,-0.0428813034596375,0.01453930263580114,-0.0026247914970748886
1,0.9510365846147733,0.0087310227903445,0.013784981262149774,0.0013257940583906865
2,1.6159526042301644,0.0684822849602644,0.013911600969401028,0.00493708447927308
3,2.2335585139406424,0.1366697569930716,0.015296729010197564,0.003752427956478727
4,2.7404351853646225,0.2246021650241262,0.016527305855880966,-0.00294570927054542
5,3.3579774209782642,0.2928009912483488,0.0172874231059039,-0.008030400460522152
6,3.984315001498372,0.3594314555390109,0.018399487856898503,-0.008588604676035196
7,4.65184708250233,0.4187162287717352,0.019638540945710322,-0.0070838771071623195
8,5.379417139974781,0.4672951936635093,0.02088565781386371,-0.00509148557019417
9,6.041314657577867,0.5275847068858688,0.02251872508357142,-0.0030971534528107625
10,6.763322700452405,0.5771554750624532,0.02381522734666386,-0.0010975208048848223
11,7.43301324438884,0.6360553570675682,0.02609710030456458,0.0007859339954389378
12,8.170524821296834,0.6828615773074532,0.02900980190654772,0.003049445460239157
13,8.911554791023821,0.7290404073286141,0.033274193733032004,0.005414461376374493
14,9.653397762695947,0.7750742650586112,0.0380689918426854,0.007555376774641836
15,10.482366152399237,0.8055721556902449,0.04613883551087202,0.009481177131644383
16,11.60872616532174,0.7830399825578235,0.10921133883265514,-0.018773319601632758
17,12.727702474017804,0.7618244514400778,0.15506019488522083,-0.0446485481270464
18,14.963848093691137,0.5413983334366993,0.19166475484449744,-0.06976716022200799
19,16.01958336191736,0.5314597723032388,0.20373148967238286,-0.06900121041495966
20,16.966052457933973,0.5410052572125226,0.21759539026867886,-0.07121190849810662
