AoA,AoA_mod,Cl,Cd,Cm
-30,-27.80947538569121,-0.3906083793352209,0.28020691330828323,0.05056679752404521
-29,-26.857395504501543,-0.382063394346791,0.26703086726286523,0.04769051405691518
-28,-25.898626311272242,-0.3747112292507286,0.25532412249870756,0.044478581994711955
-27,-24.958649200267306,-0.3640081112669218,0.24096438673161677,0.04124692274021781
-26,-24.018217618714985,-0.3533860332325458,0.22847781989656757,0.03861077215594863
-25,-23.043590589055004,-0.348861594311067,0.21843847199273775,0.0365376668326219
-24,-22.02045916930149,-0.3529863260409111,0.2141308803252032,0.03628434191147586
-23,-21.05840133532908,-0.3462205823995494,0.20368448868531455,0.034531192983857185
-22,-19.789211961528743,-0.3942216979074855,0.21574633328830894,0.044149861190287354
-21,-17.951058711935246,-0.5436789011362063,0.25845385021090855,0.07556080061429402
-20,-16.94165586971282,-0.5453555903355218,0.2482388817939583,0.07706214921791439
-19,-16.007759215858066,-0.533568221803908,0.2336590997535388,0.07488209937033913
-18,-15.005889361211999,-0.533901649188436,0.22157803545693527,0.07409576499117777
-17,-13.940575607188265,-0.5455482198048359,0.20984528011342618,0.0742840873814006
-16,-12.385449819321295,-0.6445367373998904,0.1904920409140095,0.06399721204351248
-15,-10.67513353263859,-0.7711984017994449,0.1526982260897849,0.03924697759007376
-14,-9.651200846765768,-0.7754660131199743,0.08984531332077601,0.00558948078191897
-13,-8.737073741004028,-0.7601533926508283,0.05828773786725704,-0.005877524040788994
-12,-7.902195340064046,-0.730709359116229,0.04827018935123521,-0.005823295239600054
-11,-7.14183705021979,-0.6879771024624536,0.04208494674464895,-0.004294864183151073
-10,-6.367649249610361,-0.6477108864784321,0.03649480353504237,-0.0025629334540714834
-9,-5.683428891608777,-0.5914019213189702,0.033113284595352746,-0.00019724500363624536
-8,-4.97365426072734,-0.5396497244557817,0.030644928520670963,0.0018504958180665197
-7,-4.206253630168892,-0.4981732388055038,0.02856834029688334,0.0037835911735932155
-6,-3.552746007398743,-0.436387662401713,0.02554738754973281,0.005865396993906717
-5,-2.8664195805094304,-0.3804542457065915,0.02486517373894661,0.007823607533632714
-4,-2.1463929082264666,-0.3305301649259936,0.022527155055240687,0.00964453448707868
-3,-1.5096096707646423,-0.2657623417133834,0.021594866027086733,0.009571788510685067
-2,-0.9318866234606891,-0.1904630663499489,0.01909510820443858,0.00501063246688108
-1,-0.3836399461853963,-0.1099076450156491,0.01818776177249284,-0.00122196508174933
0,0.22830514302850935,-0.0407107508994605,0.015885991178540372,-0.0021973701921308092
0,0.22726978875189596,-0.0405261293465302,0.01581457237259369,-0.0021874052101968086
1,0.853393912157783,0.0261423980350001,0.015501759648181901,0.001685633736505193
2,1.5624914452370005,0.0780153331329697,0.015830181823327714,0.004036157732787085
3,2.155579687037926,0.1505747288888305,0.017401837770531267,0.0012374916170492475
4,2.685948456513546,0.2343180900188848,0.018598932534244418,-0.005496817350485241
5,3.293465703166362,0.3043045449532633,0.018344607803552612,-0.008959582780482884
6,3.9426748180440954,0.3668566195696049,0.019247017901823045,-0.00812677919287447
7,4.6478556901584,0.4194279629766693,0.02031502754069464,-0.006556899493490056
8,5.342095796293188,0.4739502339560739,0.021371077215912703,-0.00472498327699893
9,6.026516350793437,0.5302235006214944,0.02384348712226465,-0.002529307175144147
10,6.755766185547109,0.5785029322064176,0.025615401563248815,-0.0004037803344601569
11,7.431480692789305,0.6363286374920983,0.0276682826918486,0.001428783496105591
12,8.14285981682423,0.6877947255089198,0.03094267979382536,0.0037197979729387994
13,8.897416785823456,0.7315614578853049,0.03615467335997223,0.00589244505187868
14,9.673267754447412,0.7715311022816467,0.041978555204372096,0.007700606695308157
15,10.531181773196922,0.7968674872279629,0.0519540221567317,0.008388691537677948
16,11.62864360324718,0.7794883593084218,0.12092233128227176,-0.025719687646904688
17,12.727681745983823,0.7618281476066067,0.15719316871844258,-0.04535036294022947
18,14.937685174733604,0.5460636338427874,0.1948445472768265,-0.0686994454431179
19,15.975606134405806,0.539301671660925,0.20657879934853235,-0.06891226970095136
20,16.91054530621894,0.5509031412313999,0.22155956099843022,-0.07122926567379151
21,17.71652024890213,0.5855011606710749,0.2418730342115843,-0.07810940739837037
22,18.586062347431177,0.6087640581213836,0.26064124765290425,-0.08410859341082592
23,19.53668132371694,0.6175695476908397,0.27624338667653314,-0.08460177628884387
24,22.059962099951587,0.3459422711056527,0.18827152846592057,-0.028739685691634625
25,23.043330986487426,0.3489078859334165,0.1966312347873696,-0.02943272193559242
26,23.991349976712097,0.3581769979314833,0.2060315799470483,-0.030580395632669614
27,24.97451651085571,0.3611786956863532,0.2147662798443543,-0.032673239803600165
28,25.93592664787386,0.3680599348834141,0.22505370529832175,-0.03507301229308276
29,26.875187615545677,0.3788907535946602,0.23751246559089975,-0.038082194099324264
30,27.812640292303637,0.390044021813488,0.25150494006976454,-0.041251343941992674
