AoA,AoA_mod,Cl,Cd,Cm
-30,-27.157575562773367,-0.5068533791199905,0.35452673633715615,0.06645019830282448
-29,-26.225356232854466,-0.4947669147553856,0.3365553357899559,0.062050634038124206
-28,-25.283861832178278,-0.4843343557306507,0.32105989462134593,0.05847536888242112
-27,-24.349240792036202,-0.4726761577876048,0.3046009608013255,0.054609727730656726
-26,-23.409412888652643,-0.4619464335073935,0.2897934227928796,0.050934126738032146
-25,-22.474745674430263,-0.4502964692005079,0.2752245825558546,0.04744983999907634
-24,-21.534591533109825,-0.4396249187800964,0.261419029945595,0.04484697863625544
-23,-20.56107094555318,-0.4349031821181637,0.25010427441028626,0.04277021367449731
-22,-19.514663861848206,-0.4431783668101163,0.24403279902294178,0.04251467224487845
-21,-18.06954571435931,-0.522550621779366,0.2623331656166373,0.058809975153746405
-20,-15.954818703805024,-0.7213257043096302,0.31044768566266584,0.10147673963544192
-19,-15.048489263593819,-0.7046226253706752,0.29168714161193837,0.09788326903424119
-18,-14.201369556184705,-0.6773614282441305,0.26990162336439494,0.09353913322653856
-17,-13.199076362663005,-0.6777703442632257,0.25391155462745585,0.09246140103784009
-16,-12.10372796245183,-0.6947726111336417,0.23807014852579367,0.09284461488171226
-15,-9.579506315308281,-0.9665676612551262,0.1848932115968992,0.06032895916908637
-14,-8.567730413143135,-0.9686675080360716,0.1478349187006106,0.04196391137035814
-13,-7.267476271448647,-1.022208008293349,0.0440312416710239,-0.010935371893643457
-12,-6.424074334593026,-0.9942838684538328,0.030709686900196,-0.009517882898581034
-11,-5.744348886972742,-0.9371733831252624,0.02578691776390364,-0.0066167600060520766
-10,-5.099723841878513,-0.8738038896781998,0.02218626655308724,-0.003986723485502485
-9,-4.468481413297029,-0.8080480445265441,0.019426303596595,-0.001365694763878874
-8,-3.7984809656403637,-0.7492034237082329,0.017376813598232475,0.00103579100665148
-7,-3.188639954496755,-0.6796313361248424,0.01701963051325222,0.0037228194987500556
-6,-2.597141202857358,-0.6067885068152528,0.017277344224618595,0.00658777664983605
-5,-1.9640220490031672,-0.5413673141995428,0.01653149555353386,0.009038686097812993
-4,-1.3502879061586541,-0.472489439251014,0.01678559877907013,0.011255819283062126
-3,-0.7631364434627046,-0.3988714132247978,0.01726812207401465,0.012009904890224599
-2,-0.27714300119574364,-0.3072151646840198,0.017709410109020315,0.007906768722568009
-1,0.14314415189677177,-0.2038423497285521,0.01791972040845872,-0.0006355922801241712
0,0.5989889137042764,-0.1068100706531528,0.017222766288094077,-0.00517640532712042
0,0.5991514053874847,-0.1068390457272601,0.017227180449345167,-0.005177809564820494
1,1.165968244363754,-0.0295950050177794,0.0173188833089613,-0.0023126522973794003
2,1.8151740956268312,0.0329576515574333,0.0174899703462149,0.0031403516389013476
3,2.351817883483021,0.1155820685113197,0.01910381674581305,0.00602097300264867
4,2.7945048597338022,0.2149606080479711,0.02134441116828848,0.0011206591213144892
5,3.2134538289224226,0.3185720443101972,0.023563106203613914,-0.007366895732075699
6,3.6683483057460005,0.4157737756140963,0.024193021304019957,-0.0116232088583187
7,4.297897912674886,0.4818314801093566,0.02520298579968456,-0.010617124052163114
8,4.863610644924252,0.5592724021213306,0.02680667453262166,-0.008692497466909485
9,5.49050419866046,0.6258037267833044,0.028216658452758635,-0.0059856169146200715
10,6.070543304742291,0.7006900088574775,0.02942649841120678,-0.0035431238738297052
11,6.689813232247848,0.7685807577720531,0.03128785487866361,-0.0009256916730602562
12,7.334708875307426,0.831901998927402,0.032809334264643636,0.0015837149221502554
13,7.990870688191843,0.8932142873835432,0.036222262142429615,0.00457596969917505
14,8.665364879843766,0.9512575960195264,0.04081384155953431,0.007348636607105424
15,9.374913170847183,1.0030501531929144,0.04756007415258519,0.009577572355840083
16,10.137860610175172,1.0453207197670205,0.06338200716496924,0.01077934481756754
17,11.4852167049423,0.9833811276058922,0.17066134058692484,-0.045576380824274815
18,12.792739053692781,0.928544580474606,0.21067305661642338,-0.0661295507990187
19,15.208431266076111,0.6761022033817391,0.25017248611078113,-0.08869808419793991
20,16.177353087525837,0.681643979482732,0.268356267263128,-0.09021183157252362
21,17.12803280152687,0.6904386384683306,0.28457967914047794,-0.09190955220897137
22,17.840030133802998,0.7417944892763982,0.3131002988083876,-0.10262624666301849
23,18.78497521214061,0.7516117328647609,0.3301290387529767,-0.10506046113683602
24,20.230704631277007,0.6721304776012422,0.3185891337964247,-0.0880089420952907
25,22.616658470500695,0.424990966163514,0.2384673242519481,-0.03696382288926872
26,23.634418978195182,0.4218239608345631,0.24420771179024675,-0.03698278848595499
27,24.549674841260398,0.4369353043775811,0.2599492827406192,-0.03994306783238761
28,25.50708054867088,0.4445306025489151,0.2713360076223265,-0.04171367559012625
29,26.443968711065178,0.4557845334305866,0.2856357507141172,-0.04599392287472688
30,27.37368576606132,0.4683171966399092,0.3015240052673693,-0.04932479981372726
