Time_s,Voltage_V
0.0775641,-0.001416
0.1117605,-0.001413
0.1313325,-0.001412
0.2644979,-0.001406
0.2847125,-0.0014
5.0943898,-0.0014
5.0998691,-0.001398
5.1048242,-0.001391
5.1099307,-0.001388
5.1157946,-0.001386
5.1207417,-0.001383
5.1256093,-0.001375
5.1307222,-0.001373
5.1361728,-0.001372
5.1413092,-0.001371
5.1461219,-0.001368
5.1526689,-0.001367
5.156944,-0.001369
5.1620021,-0.001365
5.1674386,-0.001364
5.1724838,-0.001365
5.1775207,-0.001365
5.1831855,-0.001362
5.1889727,-0.001362
5.193,-0.001361
5.1981416,-0.001358
5.2037733,-0.001352
5.2087348,-0.001352
5.2138372,-0.001352
5.220072,-0.001348
5.2256688,-0.001344
5.2312745,-0.001339
5.2357834,-0.001332
5.2408079,-0.001319
5.2467135,-0.001307
5.2517722,-0.001301
5.2567673,-0.001294
5.2617301,-0.001288
5.2678332,-0.001284
5.2729436,-0.001286
5.2769748,-0.001279
5.2838085,-0.001274
5.2870188,-0.001276
5.2926992,-0.001275
5.2973225,-0.001267
5.3025611,-0.001263
5.3087669,-0.001268
5.3129064,-0.001266
5.3182476,-0.001265
5.3234247,-0.001271
5.3286849,-0.001274
5.3338871,-0.001273
5.3542052,-0.001273
5.427874,-0.001276
