AoA,AoA_mod,Cl,Cd,Cm
-20,-17.0092220582448,-0.533307371736216,0.242224198466285,0.0746269076689639
-19,-15.9990785470964,-0.535116134999842,0.230212365210809,0.0736391564782106
-18,-14.9351635305903,-0.546513286554109,0.219273984263631,0.0740934827055814
-17,-12.6573145386388,-0.774375836246954,0.189841191828816,0.0524426455383953
-16,-11.708041671608,-0.765330312143745,0.168326020590578,0.0444066224839538
-15,-10.6227766693982,-0.780534534963065,0.118011993973504,0.0160007669894442
-14,-9.57709595164696,-0.788680196057743,0.0658040032287742,-0.0089489569457583
-13,-8.73593970492185,-0.760355610874385,0.0550876661350641,-0.00775444797209612
-12,-7.95903985813621,-0.720572999573304,0.0481463229669989,-0.00590032236695258
-11,-7.22397778768863,-0.673329990017094,0.0426133360391056,-0.0035845117845654
-10,-6.48772099848052,-0.626300019454269,0.0377140825719051,-0.00120720360539091
-9,-5.75653064468426,-0.578366615936478,0.034219078771594,0.00074476272356961
-8,-5.06524144931223,-0.523318146592045,0.0312907762001931,0.00289110282327017
-7,-4.35929582804201,-0.470883171170274,0.0286890411869616,0.00512219085463572
-6,-3.66778934373054,-0.41587344819734,0.0265937477834059,0.00719598470669751
-5,-2.96101950692697,-0.363585444643222,0.0243959048791487,0.00902269554264621
-4,-2.31710021920757,-0.300090102464496,0.0225191196386066,0.00987027888161629
-3,-1.70569588354224,-0.230796782649254,0.0205660190476165,0.00625253993004776
-2,-1.16008808162398,-0.149770804253078,0.0183550723007229,-0.000717778500814383
-1,-0.586526755327553,-0.0737294221416189,0.0167539365655649,-0.00349099081631806
0,0.0884817635588118,-0.0157778269363732,0.0156924120555566,-0.000747849277724999
0,0.0890490774402692,-0.0158789888016008,0.0157928984549804,-0.000752644223705094
1,0.779022736641808,0.0394040633674925,0.0155485290226015,0.00328228804422641
2,1.43686932267041,0.100415927668114,0.0167168189745199,0.00492516853603163
3,1.97265110780823,0.183194054597504,0.0178567594832705,-0.000309554605595438
4,2.50300597962382,0.266939893920418,0.0192282721084449,-0.0073286714936628
5,3.11280871255771,0.336518807169846,0.0199140488757467,-0.00894502128876856
6,3.7933746580104,0.39347941721557,0.0212884742569375,-0.00783249197039715
7,4.47465737349504,0.450312214782626,0.0220719034482417,-0.00604173451897573
8,5.17157789659329,0.50435652111411,0.0237698977870952,-0.00369832756928893
9,5.85744368382578,0.560372077817445,0.0251709275106134,-0.00174015382118626
10,6.56400612797646,0.612697063064213,0.0276267530587564,0.000253852096914959
11,7.27420998739037,0.664372721065278,0.0309646861104921,0.00272507333395707
12,7.99259233978906,0.714590012486336,0.0342244873191156,0.00506007806240407
13,8.76414642379357,0.755325865637617,0.0395754998720378,0.00723670619038096
14,9.54563179746599,0.794290798281293,0.0461131469557953,0.00885853213889118
15,10.4365292235661,0.813745671919295,0.0672420857139084,0.00589412944535796
16,11.655271516901,0.77474014231535,0.145964261029414,-0.0392283002066975
17,12.592442911292,0.785943568039258,0.168696713879731,-0.0487486751515211
18,14.835137366464,0.564349679537462,0.205831126234445,-0.0727491248129833
19,15.906480798628,0.551627913147913,0.218105016091596,-0.0728237995952956
20,16.8998162583062,0.552816315815071,0.230164470999398,-0.073684566081701
