AoA,AoA_mod,Cl,Cd,Cm
0,0.24325090791022272,-0.0433758389611226,0.01726621214487463,-0.2927462006600048
1,0.9392068883206469,0.0108404619937632,0.017057088869811648,0.15766660596718005
2,1.5962904047411473,0.0719883947872906,0.017081496452993297,0.5030866693171505
3,2.1990064368062363,0.1428309892220894,0.018388567781397514,0.293191918207628
4,2.708663532837312,0.2302675995147633,0.019708372780569448,-0.30834216860815866
5,3.283330104964309,0.3061118972018689,0.02022573057574407,-0.5399068021596359
6,3.960083520170363,0.3637523472507948,0.02113678684158863,-0.4149292271209909
7,4.666109776812272,0.4161729439928431,0.021862249895233256,-0.20770877474645227
8,5.321800638599069,0.477569211165218,0.023288514600706214,0.0728362199044691
9,6.010025178920438,0.5331641614461085,0.024164104567683267,0.3207482547243578
10,6.710004570522672,0.586663018682368,0.025767191619980923,0.5773808662899709
11,7.413152101243245,0.6395969419852495,0.02783673858369621,0.8388694833221928
12,8.126785011308405,0.6906611410194555,0.030990996735331282,1.1405624027934882
13,8.884900820347754,0.7337932707388763,0.035435339434184344,1.3876783659882919
14,9.636161008842812,0.7781478760299707,0.04034426297144527,1.6550653992260558
15,10.441699009775462,0.8128238097317948,0.05012328524140034,1.8493620959374684
16,11.658299212411896,0.7742002519032997,0.12710602159686693,-2.150974610041572
17,12.687366337913138,0.7690170813012397,0.15863290988483392,-3.774525086996504
18,14.962699594290864,0.5416031307197238,0.19598233893481046,-6.5099053273119765
19,15.993919325074911,0.5360361134101799,0.2075684740167884,-6.481880995089122
20,16.93500767132602,0.546541078953365,0.22225915230946128,-6.729616380221018
