AoA,AoA_mod,Cl,Cd,Cm
-30,-27.804212732222048,-0.3915468013594086,0.2800955542141227,0.04982191474563837
-29,-26.874700646655274,-0.3789775885600496,0.2645437066125353,0.04630140224169927
-28,-25.905308476090983,-0.3735196838313121,0.2534410944175912,0.04373666705833606
-27,-24.96575260661005,-0.3627414512069647,0.23928006824340056,0.0402678404420496
-26,-23.993352441357562,-0.357819923893268,0.2297738692592446,0.03834895633867444
-25,-23.042123392785374,-0.3491232207512832,0.2179679104742429,0.035701655281221455
-24,-22.057795002000738,-0.3463287021062048,0.2100057355502784,0.03471268496862019
-23,-21.067094242272447,-0.3446704869243924,0.2022548647405688,0.03340825720763484
-22,-19.56095559476061,-0.4349237511571263,0.22907663054374583,0.05231769558841131
-21,-17.797876177473828,-0.570993993209398,0.2661232371928085,0.08132520732900786
-20,-16.85320287632712,-0.5611282870530343,0.2509785151166708,0.07923479227447286
-19,-15.959300589846592,-0.5422092319288394,0.23447576055711625,0.0754595514586014
-18,-15.036722471080703,-0.5284035730668492,0.2190260599566676,0.07282200432516199
-17,-13.99981486329803,-0.5349848371014828,0.206390669484342,0.07262749111989318
-16,-12.586130703181837,-0.6087518691102175,0.19170024889216256,0.06737567334361999
-15,-10.702951102143999,-0.7662380486171178,0.14899860022669914,0.03680156763109639
-14,-9.626310889079221,-0.7799043225414511,0.08175138281138825,0.00022060669754732018
-13,-8.672098808129853,-0.7717395456032367,0.054865755392605714,-0.008548711098200063
-12,-7.837308181455727,-0.742279860400763,0.04680537124297578,-0.007064616976583346
-11,-7.11935771749174,-0.6919855558110645,0.040708991389246475,-0.004754790964589277
-10,-6.358684689505951,-0.6493094224049236,0.03585654894339247,-0.002830678321651627
-9,-5.642628557276339,-0.5986773257430185,0.03265092283327084,-0.0006813913360381053
-8,-4.944975403858685,-0.5447636600534362,0.02972169822716148,0.001562726835268054
-7,-4.2465345547178375,-0.4909904541184882,0.026973987022071624,0.003555589199247034
-6,-3.544132334236227,-0.4379236291250065,0.025583378975118976,0.0056988610146893135
-5,-2.8508987088592233,-0.3832218852398594,0.023071493903793504,0.007561182089576355
-4,-2.1563992139831347,-0.3287458677538853,0.021475201066414713,0.009167828304601616
-3,-1.5154739890123763,-0.2647166324656121,0.020047192261667568,0.008463641835358898
-2,-0.945422075335778,-0.1880494614600688,0.018768816107043305,0.001399754071967435
-1,-0.3858091003067704,-0.1095208473643725,0.016421909460859585,-0.0024496350428621087
0,0.23803000883883307,-0.0424448624673516,0.014944168249762767,-0.0023076417236891616
0,0.23697860538190674,-0.0422573790683271,0.014878818507907543,-0.0022974486287199495
1,0.9296895580423945,0.0125375663911768,0.014354580451610104,0.0011938781099359187
2,1.5908053364898929,0.0729664772092686,0.014578394381549807,0.004209545786634009
3,2.1727147423901454,0.1475192525169927,0.015541796343491943,0.0011316739905411657
4,2.717864130245735,0.2286269740594981,0.016915135442651295,-0.005372411954060266
5,3.3012363182009397,0.3029189100577376,0.017338409308137556,-0.008806425653142328
6,3.9590009366889154,0.3639453905868162,0.01823760915424808,-0.008193447160593219
7,4.630407656217232,0.4225392488375207,0.01866381163926021,-0.006357045530768835
8,5.339676331786336,0.4743816662731123,0.020321157333047294,-0.004382324565020412
9,6.039117982880388,0.5279764119312741,0.021321151590373868,-0.0023914274168084925
10,6.730048181636656,0.5830888965738478,0.02267452510918332,-0.0005461493150235698
11,7.437634300507986,0.6352313429342753,0.025080774737001925,0.0010703402453641183
12,8.167055663867771,0.6834801880056272,0.027913698303644048,0.0034406910832119747
13,8.888851025763563,0.7330888808747171,0.03265763495380677,0.005866707932308968
14,9.671411392593503,0.7718621236682488,0.03795403879279082,0.007671579813795524
15,10.466131628014363,0.808467051834224,0.04820783494370867,0.008968957243869428
16,11.680702846634926,0.770205296905801,0.12244007730045885,-0.029165407295305687
17,12.759491207477875,0.7561559711240615,0.15531412179243084,-0.04657827487090417
18,14.994745001993248,0.5358888809523388,0.1922220331039359,-0.06975725195653751
19,16.06233424703398,0.5238365509792369,0.20192653480652573,-0.06901193698795019
20,16.925729640715996,0.5481955120861088,0.21915704747833994,-0.07323921016859244
21,17.80873408439751,0.5690578408380763,0.2361426220945959,-0.07792263766517808
22,18.683420989172916,0.5914033304597964,0.2540772323721831,-0.08279534207677695
23,19.637433576861472,0.5996036804925952,0.26787160343402044,-0.08339828094162646
24,22.098672131049604,0.3390396038576138,0.18530815894472136,-0.029524668653936832
25,23.12540103465837,0.3342733786110089,0.1889616597406221,-0.028928422030477366
26,24.079722378518714,0.342418672084715,0.19830462646306257,-0.030532512746497185
27,25.03100287080965,0.3511062019229736,0.2089663345494428,-0.03281330703499068
28,25.95926968146813,0.3638974687502032,0.22197660464899133,-0.03514340858382215
29,26.897711294286903,0.374874392585837,0.23453010839668306,-0.03826884271816847
30,27.846669581308785,0.3839760117389129,0.24708019302728682,-0.041668476593531296
